Station Name,Year,Month,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Spd of Max Gust (km/h)
CALGARY INTL A,2021,1,9.7,-17.5,-4.29,0.2,7.7,4.4,89.0
CALGARY INTL A,2021,2,9.4,-30.8,-11.18,0.0,33.8,27.9,71.0
CALGARY INTL A,2021,3,18.7,-10.6,2.62,0.0,10.9,7.4,85.0
CALGARY INTL A,2021,4,21.7,-9.6,4.86,1.0,9.9,10.7,84.0
CALGARY INTL A,2021,5,27.2,-3.0,9.32,27.4,7.8,35.0,81.0
CALGARY INTL A,2021,6,36.3,3.7,17.12,30.3,0.0,30.3,75.0
CALGARY INTL A,2021,7,36.3,9.3,19.84,61.9,0.0,61.9,57.0
CALGARY INTL A,2021,8,34.2,4.5,17.41,76.0,0.0,76.6,70.0
CALGARY INTL A,2021,9,27.4,0.7,13.42,16.2,0.0,16.2,68.0
CALGARY INTL A,2021,10,23.7,-9.6,5.85,22.9,4.2,25.9,65.0
CALGARY INTL A,2021,11,17.2,-11.8,1.91,0.5,3.8,3.9,89.0
CALGARY INTL A,2021,12,13.3,-32.9,-12.32,0.3,25.5,22.6,90.0
CALGARY INTL A,2022,1,13.9,-29.7,-5.22,0.2,3.7,3.4,85.0
CALGARY INTL A,2022,2,13.5,-27.0,-5.53,0.0,32.5,24.2,72.0
CALGARY INTL A,2022,3,18.4,-15.6,1.97,0.0,11.0,9.3,79.0
CALGARY INTL A,2022,4,21.1,-11.2,2.11,0.0,43.1,40.6,74.0
CALGARY INTL A,2022,5,21.5,-1.5,10.06,11.3,1.0,12.1,79.0
CALGARY INTL A,2022,6,26.3,2.1,14.25,137.9,0.0,137.9,93.0
CALGARY INTL A,2022,7,31.7,7.6,18.51,64.1,0.0,64.1,104.0
CALGARY INTL A,2022,8,32.0,7.3,20.01,30.1,0.0,30.1,75.0
CALGARY INTL A,2022,9,32.7,-0.1,15.14,10.8,0.0,10.8,59.0
CALGARY INTL A,2022,10,25.4,-5.6,9.14,5.6,24.2,29.3,74.0
CALGARY INTL A,2022,11,12.4,-22.6,-5.65,0.0,29.4,32.5,69.0
CALGARY INTL A,2022,12,10.0,-32.2,-11.75,0.3,26.1,19.1,60.0
CALGARY INTL A,2023,1,9.7,-22.3,-3.82,0.0,22.4,18.3,68.0
CALGARY INTL A,2023,2,10.9,-29.7,-5.04,0.0,32.1,29.8,68.0
CALGARY INTL A,2023,3,11.8,-20.3,-6.5,0.0,18.1,19.6,79.0
CALGARY INTL A,2023,4,24.1,-8.7,4.72,2.4,3.7,6.1,76.0
CALGARY INTL A,2023,5,29.7,3.0,14.86,30.4,0.0,30.4,75.0
CALGARY INTL A,2023,6,30.0,3.9,16.27,70.1,0.0,70.1,82.0
CALGARY INTL A,2023,7,35.1,6.7,18.25,42.9,0.0,42.9,74.0
CALGARY INTL A,2023,8,33.8,5.2,18.39,50.7,0.0,50.7,75.0
CALGARY INTL A,2023,9,28.7,-0.6,13.44,18.8,0.0,18.8,71.0
CALGARY INTL A,2023,10,25.8,-16.9,5.18,23.2,16.0,36.8,64.0
CALGARY INTL A,2023,11,15.6,-10.2,1.89,0.7,5.2,3.4,71.0
CALGARY INTL A,2023,12,17.0,-13.8,0.51,2.1,21.0,21.1,66.0
CALGARY INTL A,2024,1,15.4,-36.2,-9.23,2.0,28.1,27.9,51.0
CALGARY INTL A,2024,2,12.6,-22.4,-3.85,0.8,21.2,18.3,76.0
CALGARY INTL A,2024,3,16.5,-24.9,-4.15,0.0,68.4,57.1,57.0
CALGARY INTL A,2024,4,17.9,-6.0,5.11,14.1,32.3,48.4,79.0
CALGARY INTL A,2024,5,26.2,-2.1,9.64,52.9,8.8,61.7,90.0
CALGARY INTL A,2024,6,27.4,1.8,13.56,83.3,0.0,83.3,98.0
CALGARY INTL A,2024,7,34.5,8.3,20.49,46.0,0.0,46.0,64.0
CALGARY INTL A,2024,8,31.5,6.0,17.29,78.2,0.0,86.4,80.0
CALGARY INTL A,2024,9,31.7,0.4,14.56,74.0,0.0,74.0,64.0
CALGARY INTL A,2024,10,23.6,-5.9,7.4,0.3,0.6,0.9,72.0
CALGARY INTL A,2024,11,18.3,-20.6,-3.54,0.0,40.0,38.2,69.0
CALGARY INTL A,2024,12,11.1,-20.3,-2.29,0.2,6.0,5.6,61.0
CALGARY INTL A,2025,1,12.8,-21.2,-3.96,0.0,5.2,5.0,89.0
CALGARY INTL A,2025,2,15.0,-28.5,-12.5,0.0,15.0,15.0,81.0
CALGARY INTL A,2025,3,13.8,-12.2,0.02,2.7,17.8,17.1,83.0
CALGARY INTL A,2025,4,19.7,-6.5,5.91,8.3,11.2,19.1,63.0
CALGARY INTL A,2025,5,31.8,0.7,12.86,53.5,0.0,53.5,78.0
CALGARY INTL A,2025,6,27.0,4.4,15.15,102.7,0.0,102.7,74.0
CALGARY INTL A,2025,7,32.3,7.0,16.45,167.5,0.0,167.5,93.0
CALGARY INTL A,2025,8,29.4,6.3,17.71,48.6,0.0,48.6,63.0
CALGARY INTL A,2025,9,28.1,4.1,16.37,0.4,0.0,0.4,63.0
CALGARY INTL A,2025,10,22.6,-6.0,6.83,3.5,1.0,4.5,72.0
CALGARY INTL A,2025,11,16.5,-20.7,-0.02,3.0,21.7,24.7,80.0
CALGARY INTL A,2025,12,13.4,-23.8,-7.04,0.3,15.4,13.4,91.0
MONTREAL INTL A,2021,1,2.9,-21.5,-6.75,0.0,56.6,56.8,52.0
MONTREAL INTL A,2021,2,4.8,-22.7,-7.5,1.6,72.8,74.8,61.0
MONTREAL INTL A,2021,3,21.0,-17.9,-0.03,47.8,2.2,50.0,74.0
MONTREAL INTL A,2021,4,24.6,-6.2,8.66,75.0,5.4,83.6,65.0
MONTREAL INTL A,2021,5,31.5,1.7,14.44,11.6,0.0,11.6,70.0
MONTREAL INTL A,2021,6,32.5,9.2,21.56,103.6,0.0,103.6,91.0
MONTREAL INTL A,2021,7,30.2,11.5,20.57,60.4,0.0,60.4,71.0
